danceability,speechiness,acousticness
0.783,0.0591,0.19
0.838,0.034,0.292
0.835,0.0364,0.583
0.708,0.0436,0.0739
0.788,0.0532,0.0684
0.751,0.0409,0.255
0.931,0.133,0.0378
0.704,0.156,0.588
0.727,0.0667,0.0686
0.914,0.115,0.32
0.901,0.289,0.00302
0.76,0.0631,0.313
0.768,0.136,0.736
0.838,0.108,0.431
0.685,0.0343,0.00348
0.884,0.147,0.0555
0.856,0.194,0.587
0.787,0.048,0.244
0.823,0.0556,0.688
0.573,0.0335,0.0502
0.842,0.338,0.525
0.79,0.0858,0.345
0.754,0.153,0.253
0.507,0.277,0.0602
0.766,0.104,0.0489
0.812,0.333,0.213
0.77,0.195,0.372
0.751,0.15,0.251
0.72,0.277,0.673
0.763,0.106,0.18
0.761,0.0659,0.385
0.825,0.238,0.0895
0.668,0.0381,0.369
0.737,0.08,0.232
0.715,0.0421,0.287
0.882,0.0501,0.292
0.859,0.159,0.145
0.652,0.0614,0.143
0.763,0.0651,0.156
0.789,0.0714,0.0409
0.883,0.0851,0.247
0.783,0.0691,0.0492
0.451,0.131,0.0342
0.732,0.0757,0.0617
0.913,0.223,0.521
0.557,0.0347,0.0339
0.745,0.0983,0.174
0.843,0.269,0.143
0.874,0.0431,0.0412
0.491,0.0376,0.185
0.763,0.0417,0.0304
0.801,0.0504,0.0417
0.596,0.037,0.0116
0.692,0.0324,0.292
0.867,0.288,0.303
0.469,0.0571,0.305
0.82,0.0408,0.0936
0.826,0.0676,0.00916
0.729,0.0312,0.175
0.737,0.027,0.0588
0.64,0.0264,0.216
0.776,0.0534,0.182
0.769,0.0829,0.311
0.407,0.0552,0.0541
0.935,0.306,0.107
0.845,0.0759,0.0128
0.791,0.0569,0.00446
0.811,0.0423,0.0553
0.525,0.222,0.731
0.897,0.211,0.0291
0.67,0.366,0.0673
0.857,0.0476,0.00414
0.734,0.129,0.125
0.881,0.139,0.0175
0.867,0.361,0.242
0.929,0.308,0.142
0.424,0.0297,0.461
0.877,0.0621,0.156
0.396,0.0345,0.326
0.877,0.15,0.0339
0.816,0.0339,0.767
0.848,0.274,0.173
0.626,0.131,0.237
0.895,0.275,0.176
0.836,0.338,0.0208
0.694,0.0701,0.0153
0.871,0.0464,0.126
0.681,0.0568,0.633
0.503,0.444,0.0181
0.765,0.278,0.344
0.812,0.0493,0.0877
0.642,0.0375,0.0444
0.754,0.0615,0.724
0.919,0.0429,0.0797
0.714,0.0456,0.93
0.651,0.0699,0.0528
0.722,0.153,0.825
0.55,0.134,0.162
0.52,0.036,0.168
0.78,0.0305,0.141
0.825,0.0524,0.258
0.513,0.0574,0.555
0.811,0.221,0.0122
0.716,0.0426,0.0631
0.807,0.0297,0.307
0.817,0.143,0.0515
0.59,0.0488,0.000154
0.596,0.0446,0.256
0.538,0.0906,0.417
0.886,0.171,0.29
0.837,0.064,0.541
0.658,0.0519,0.0294
0.632,0.0259,0.00143
0.906,0.256,0.0342
0.685,0.0568,0.18
0.895,0.0501,0.208
0.671,0.048,0.0207
0.561,0.0343,0.00383
0.704,0.0475,0.0826
0.801,0.0381,0.382
0.671,0.0352,0.12
0.545,0.0279,0.00617
0.64,0.0284,0.0115
0.789,0.0429,0.112
0.65,0.253,0.0993
0.743,0.0633,0.00288
0.824,0.0854,0.0888
0.796,0.0317,0.034
0.631,0.0332,0.199
0.702,0.0601,0.00883
0.581,0.0981,0.0295
0.807,0.0347,0.0451
0.612,0.0509,0.112
0.596,0.0346,0.0211
0.663,0.109,0.0338
0.584,0.0343,0.0462
0.951,0.0685,0.106
0.739,0.0472,0.0245
0.694,0.149,0.176
0.673,0.158,0.039
0.735,0.0383,0.025
0.687,0.0778,0.0112
0.738,0.0731,0.0392
0.534,0.183,0.0607
0.706,0.0688,0.0588
0.636,0.0581,0.0185
0.67,0.058,0.0342
0.682,0.0395,0.0268
0.695,0.317,0.234
0.758,0.113,0.00364
0.734,0.0662,0.168
0.737,0.0593,0.11
0.816,0.129,0.099
0.578,0.114,0.0166
0.662,0.13,0.202
0.675,0.0974,0.0868
0.801,0.255,0.0777
0.795,0.0948,0.131
0.761,0.056,0.0908
0.621,0.11,0.0165
0.607,0.0474,0.118
0.914,0.0892,0.146
0.737,0.0556,0.0329
0.77,0.0583,0.198
0.601,0.0449,0.0282
0.787,0.0478,0.018
0.768,0.0474,0.179
0.789,0.218,0.223
0.674,0.0892,0.0686
0.813,0.0495,0.000132
0.597,0.375,0.00427
0.789,0.041,0.0332
0.778,0.0311,0.672
0.595,0.102,0.216
0.786,0.0882,0.0846
0.548,0.0777,0.0168
0.884,0.202,0.000502
0.709,0.0551,0.108
0.685,0.034,0.028
0.776,0.117,0.0297
0.738,0.0818,0.053
0.736,0.0545,0.498
0.748,0.177,0.00445
0.693,0.0324,0.0151
0.708,0.0476,0.0324
0.503,0.0619,0.0305
0.661,0.0566,0.179
0.763,0.035,0.262
0.738,0.0959,0.074
0.671,0.0341,0.0142
0.817,0.145,0.0152
0.551,0.03,0.0391
0.816,0.0311,0.203
0.678,0.234,0.495
0.735,0.112,0.329
0.535,0.0802,0.0723
0.775,0.0656,0.127
0.477,0.0896,0.0213
0.785,0.0368,0.00013
0.808,0.11,0.0479
0.638,0.0375,0.001
0.731,0.0576,0.0112
